clean_text,emotion
yeah im behind on my classic cinema calendarmaking i havent had time to go see any anyway,emotionally_overwhelmed
how come its so hard to find a guy with the same passion for love as for a woman am i ever going to see the day im lonely yall,emotionally_overwhelmed
grr my stupid meebo is disconnecting me every  seconds,emotionally_overwhelmed
one of my cats is sick,emotionally_overwhelmed
oc im seriously screwed  i havent studied at all,emotionally_overwhelmed
oh insomnia i hate you im bored of staring at my ceiling cano go sleepnow please,emotionally_overwhelmed
playing bejewled on facebook  it i want a higherscore,emotionally_overwhelmed
that didnt work unfortunately,emotionally_overwhelmed
i dont know why i follow sme of the ppl that i do they e anoying and boring  note to self unfollow peeps on monday morning,emotionally_overwhelmed
almost ready for new beta until we found a showstopping bug   please standby,emotionally_overwhelmed
st joe is dirty,emotionally_overwhelmed
i cant believes its already monday the weekend went by soooo fast keeping my fingers crossed that will too,emotionally_overwhelmed
just watched hella home movies with my aunt and uncle i miss the days where our whole family got along,emotionally_overwhelmed
how the  do  songs fill an ipod that is supposed to hold,emotionally_overwhelmed
home alone and no one left me any gummy bears,emotionally_overwhelmed
im depressed on this pretty day  everyone either is doing something or cantbleh,emotionally_overwhelmed
my ear hurts and this is my medicine gum,emotionally_overwhelmed
i am watching blood  on veoh episode  love the musicwishing i could watch the live action but not old enough,emotionally_overwhelmed
you are lame  go make me breakfast,emotionally_overwhelmed
i wanna see the rest i only saw like  minutes,emotionally_overwhelmed
screw the fact you cant post long updates on twitter,emotionally_overwhelmed
stupid storm no river for us tonight,emotionally_overwhelmed
att cheated the system and now i have no green day tickets   you att,emotionally_overwhelmed
ready for this saddenning depressing dullful upsetting dreadful weekend,emotionally_overwhelmed
everyones just set to away on msn nobody to talk to,emotionally_overwhelmed
with hubby at the dentist ready to hold his hand  and getting nervy about potentially buying a car tomorrow,emotionally_overwhelmed
is going to be off line for the rest of the day made some progress on a game over the weekend  you may not like me again,emotionally_overwhelmed
sunburn is really bad now regretting sitting in the sun without suncream now,emotionally_overwhelmed
yea someone is getting the best of me,emotionally_overwhelmed
i honestly hate what i have said to some ppl sometimes sorry for makin an  of myself to anyone,emotionally_overwhelmed
start of diet today  i think i have to face i will never get back down to kilos unless i cut a leg off,emotionally_overwhelmed
tweetioi in class is a real problem  taylor,emotionally_overwhelmed
i talked to kat that is crappy,emotionally_overwhelmed
so my coworkerfriend told me the manager who sent me home is afraid shes in trouble for sending me home haha dumb,emotionally_overwhelmed
sorry for my lack of tweets  ive been buzy new vid this saturday,emotionally_overwhelmed
well piss on that i cant get into their site  work nor does it come thru on my phone,emotionally_overwhelmed
dont you hate it when youre left with one slice of bread left in the bag half sandwich,emotionally_overwhelmed
so my parents are too busy making me feel like  to realise that ive got worse and need to see a doctor again no sleep sucks,emotionally_overwhelmed
britains got torture  edelcries,emotionally_overwhelmed
might have broken text messages,emotionally_overwhelmed
now i am depressed after watching so you think you can dance,emotionally_overwhelmed
just finished playing mahjong i lost  to mag and weisheng,emotionally_overwhelmed
does it start tomorrow  i was going to book sam on that and forgot,emotionally_overwhelmed
yes i blame you all,emotionally_overwhelmed
lol me too going out at am isnt as easy as it used to be,emotionally_overwhelmed
is sick in the doctors waiting room,emotionally_overwhelmed
im feel deflated ugh no more dog,emotionally_overwhelmed
awwwh u stuck in traffic  booo,emotionally_overwhelmed
hell yea its hot here  i miss cali,emotionally_overwhelmed
this weather makes my fingers numb  still waiting,emotionally_overwhelmed
i have a bird living with me  so i have to find other ways to kill these  things beside the exterminator    it sucks,emotionally_overwhelmed
test another update sorry for bothering all of u guys,emotionally_overwhelmed
would wish the severe migrains would stop docs prescriptions arent working,emotionally_overwhelmed
i just cried whilst watching hollyoaks   i need a life lol,emotionally_overwhelmed
i put a real pic of myself up im going to miss the avatar,emotionally_overwhelmed
ano pa bang aasahan ko sa iyo you never fail to fail me,emotionally_overwhelmed
is sooooo hungry right now shouldve eaten before this wedding,emotionally_overwhelmed
really sick,emotionally_overwhelmed
oh no its raining on our sea world parade,emotionally_overwhelmed
hours sleep last night  barely functioning,emotionally_overwhelmed
bummer  i hope it doesnt continue too long,emotionally_overwhelmed
watching army wives and it always makes me cry,emotionally_overwhelmed
bout to knock out feelin a lil sick  peace yall,emotionally_overwhelmed
laundry instead of sitting here that darn laundry keeps mocking me,emotionally_overwhelmed
