username,height,weight,age,gender,bmi,daily_calories,target_calories,meal_type,foods,quantity,total_calories,status,date
sumithra_m,165.0,50.0,21,Female,18.4,1265,1565,Lunch/Dinner,"Rice, Sambar","1, 1",280,Low,2026-03-17
sumithra_m,165.0,50.0,21,Female,18.4,1265,1265,Lunch/Dinner,"Rice, Sambar, Curd","1, 1, 1",380,Low,2026-03-20
sumithra_m,165.0,50.0,21,Female,18.4,1265,1265,Breakfast,Dosa,1,120,Low,2026-03-20
sumithra_m,165.0,50.0,21,Female,18.4,1265,1265,All Meals,"Upma (Breakfast), Rice (Lunch), Dal (Lunch), Curd (Lunch), Chapati (Dinner), Egg (Dinner)","1, 1, 1, 1, 1, 1",700,Low,2026-03-20
sumithra_m,160.0,50.0,21,Female,19.5,1234,1234,All Meals,"Pongal (Breakfast), Milk (Breakfast), Rice (Lunch), Dal (Lunch), Curd (Lunch), Chapati (Dinner), Milk (Dinner), Dal (Dinner)","1, 1, 1, 1, 1, 1, 1, 1",1070,Balanced,2026-03-20
sumithra_m,160.0,45.0,21,Female,17.6,1184,1184,All Meals,"Idli (Breakfast), Eggs (Breakfast), Rice (Lunch), Sambar (Lunch), Chapati (Dinner), Vegetable Curry (Dinner)","1, 1, 1, 1, 1, 1",650,Low,2026-03-21
sumithra_m,160.0,58.0,29,Female,22.7,1274,1274,All Meals,"Rice (Lunch), Sambar (Lunch), None (Breakfast), Vegetable Curry (Lunch), Chapati (Dinner), Vegetable Curry (Dinner), Milk (Dinner), Tea (Snacks), Biscuits (Snacks)","1, 1, 1, 1, 1, 1, 1, 1, 4",990,Low,2026-03-21
vibisha,165.0,50.0,21,Female,18.4,1265,1265,All Meals,"Idli (Breakfast), Eggs (Breakfast), Milk (Breakfast), Rice (Lunch), Sambar (Lunch), Chapati (Dinner), Dal (Dinner), Biscuits (Snacks)","2, 1, 1, 1, 1, 1, 1, 2",900,Low,2026-03-22
sumithra_m,165.0,50.0,21,Female,18.4,1265,1265,All Meals,"Idli (Breakfast), Eggs (Breakfast), Milk (Breakfast), Rice (Lunch), Sambar (Lunch), Chapati (Dinner), Dal (Dinner), Biscuits (Snacks), Tea (Snacks), Coffee (Snacks)","2, 1, 1, 1, 1, 1, 1, 1, 1, 1",940,Low,2026-03-22
sumithra_m,165.0,60.0,21,Female,22.0,1365,1665,All Meals,"Idli (Breakfast), Eggs (Breakfast), Rice (Lunch), Sambar (Lunch), Chapati (Dinner), Dal (Dinner), Chips (Snacks)","5, 2, 3, 2, 3, 1, 1",1690,Balanced,2026-03-22
sumithra_m,165.0,60.0,21,Female,22.0,1365,1365,All Meals,"Dosa (Breakfast), Eggs (Breakfast), Rice (Lunch), Sambar (Lunch), Chapati (Dinner), Egg (Dinner), Chips (Snacks)","2, 1, 2, 2, 2, 1, 1",1300,Balanced,2026-03-23
